Neighbourhood Cleansed,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Amenities,Price,Guests Included,Extra People,Price_log
78733,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Free parking on premises,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Doorman Entry,Private entrance",58.0,1,0,4.07753744390572
el Fort Pienc,Apartment,Entire home/apt,5,2.0,3.0,4.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",52.0,4,25,3.970291913552122
la Sagrada Família,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron",45.0,1,20,3.828641396489095
78703,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox,Private entrance",795.0,1,0,6.679599185844383
De Baarsjes - Oud-West,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Heating,Family/kid friendly,Washer,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace",100.0,1,0,4.61512051684126
el Barri Gòtic,Apartment,Entire home/apt,3,1.5,1.0,1.0,Real Bed,"Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo",115.0,2,20,4.7535901911063645
la Nova Esquerra de l'Eixample,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,Private living room",200.0,1,0,5.303304908059076
la Sagrada Família,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Smoke detector,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace",65.0,1,15,4.189654742026425
Sants - Badal,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"Wireless Internet,Kitchen,Breakfast,Pets live on this property,Cat(s),Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",24.0,16,10,3.2188758248682006
el Parc i la Llacuna del Poblenou,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pets allowed,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,First aid kit,Essentials,Hangers,Hair dryer,Iron",40.0,1,15,3.713572066704308
Sant Gervasi - la Bonanova,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"TV,Wireless Internet,Air conditioning,Pool,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",185.0,1,0,5.225746673713202
la Vila de Gràcia,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hair dryer,Iron",55.0,2,7,4.02535169073515
el Barri Gòtic,Apartment,Entire home/apt,8,2.0,3.0,4.0,Real Bed,"TV,Internet,Wireless Internet,Kitchen,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Doorman Entry",100.0,4,15,4.61512051684126
"Sant Pere, Santa Caterina i la Ribera",Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",100.0,1,20,4.61512051684126
Sants,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",79.0,2,0,4.382026634673881
